"Title", "Discount Code", "Percentage"
"Friends & Family Discount", "GKFANDF20", 20
"Friends & Family Discount", "GKFANDF20QR", 20
"Mercato Staff Discount", "GKMMSTAFF20", 20
"Mercato Staff Discount", "GKMMSTAFF20QR", 20
"Student Discount", "GKLSTUDENT20", 20
"Student Discount", "GKLSTUDENT20QR", 20
"NHS Staff Discount", "GKNHS20", 20
"NHS Staff Discount", "GKNHS20QR", 20
"Locals Discount", "GKLOCALS20", 20
"Locals Discount", "GKLOCALS20QR", 20
"GK Staff 40% Discount", "GKMANAGERS40", 40
"GK Staff 40% Discount", "GKBLKSM40", 40
"Mickey 40% Discount", "GK40MICKEY", 40
"GK Staff Drinks Order", "GKXSTAFF100", 100
"GK Staff Drinks Order", "GKXSTAFF100QR", 100
"Wastage", "WASTAGE", 100
