product_name,item_internal_name,product_category_name,product_category_description,Category Visibility,type,Item Colour,price,allow_custom_amount,item_cost_price,item_description,collection_vat_amount,on_premise_vat_amount,allergens,dietary_requirements,modifier_category_name,modifier_category_internal_name,modifier_category_type,modifier_category_selection_required,modifier_item_name,modifier_internal_name,modifier_item_description,modifier_allergens,modifier_dietary_requirements,modifier_value,modifier_cost_price,modifier_default_option,Rank
2X MARGARITA,23081001000,2 FOR 1 DEAL,German Kraft,All,drink,Rose,12.5,0,,,20,20,,,,,multi choice,no,,,,,,,,,401754009511
2X MOJITOS,23081001300,2 FOR 1 DEAL,German Kraft,All,drink,Spring,12.5,0,,,20,20,,,,,multi choice,no,,,,,,,,,401754009411
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,GIN CHOICE,GIN CHOICE - GK £8.50 DEAL,single choice,yes,KRAFT GIN DBL,22090000200,,,,0,,yes,392864514149
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,GIN CHOICE,GIN CHOICE - GK £8.50 DEAL,single choice,yes,LONDON DRY DBL,22090000400,,,,0,,no,392864514149
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,GIN CHOICE,GIN CHOICE - GK £8.50 DEAL,single choice,yes,MERCATO DBL,22090000500,,,,0,,no,392864514149
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,GIN CHOICE,GIN CHOICE - GK £8.50 DEAL,single choice,yes,ROOBEE DBL,22090000300,,,,0,,no,392864514149
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S GINGER ALE,25100000700,,,,0,,no,392864508717
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S GINGER BEER,25100000800,,,,0,,no,392864508717
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S GRAPEFRUIT TONIC,25100000900,,,,0,,no,392864508717
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S INDIAN TONIC,25100002000,,,,0,,no,392864508717
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S LEMONADE,25100001100,,,,0,,no,392864508717
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S LIGHT TONIC,25100002200,,,,0,,no,392864508717
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S MALLORCAN TONIC,25100001200,,,,0,,no,392864508717
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FEVERTREE AROMATIC,25100000300,,,,0,,no,392864508717
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FEVERTREE CUCUMBER,25100000500,,,,0,,no,392864508717
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FEVERTREE ELDERFLOWER,25100000600,,,,0,,no,392864508717
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FRANKLIN & SONS COLA,25100000400,,,,0,,no,392864508717
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FRITZ KOLA,GK,,,,0,,no,392864508717
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FRITZ LIMO,GK,,,,0,,no,392864508717
GIN DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,TWO KEYS PINK GRAPEFRUIT,25100003900,,,,0,,no,392864508717
RUM DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,RUM CHOICE,RUM CHOICE - GK £8.50 DEAL,single choice,yes,J&T DARK RUM DBL,22090000600,,,,0,,yes,392864135917
RUM DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S GINGER ALE,25100000700,,,,0,,no,392864130517
RUM DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S GINGER BEER,25100000800,,,,0,,no,392864130517
RUM DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S GRAPEFRUIT TONIC,25100000900,,,,0,,no,392864130517
RUM DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S INDIAN TONIC,25100002000,,,,0,,no,392864130517
RUM DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S LEMONADE,25100001100,,,,0,,no,392864130517
RUM DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S LIGHT TONIC,25100002200,,,,0,,no,392864130517
RUM DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S MALLORCAN TONIC,25100001200,,,,0,,no,392864130517
RUM DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FEVERTREE AROMATIC,25100000300,,,,0,,no,392864130517
RUM DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FEVERTREE CUCUMBER,25100000500,,,,0,,no,392864130517
RUM DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FEVERTREE ELDERFLOWER,25100000600,,,,0,,no,392864130517
RUM DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FRANKLIN & SONS COLA,25100000400,,,,0,,no,392864130517
RUM DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FRITZ KOLA,GK,,,,0,,no,392864130517
RUM DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FRITZ LIMO,GK,,,,0,,no,392864130517
RUM DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,TWO KEYS PINK GRAPEFRUIT,25100003900,,,,0,,no,392864130517
TEQUILA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,TEQUILA CHOICE - GK £8.50 DEAL,TEQUILA CHOICE - GK £8.50 DEAL,single choice,yes,GNARLY DBL,22090000700,,,,0,,yes,392863935182
TEQUILA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S GINGER ALE,25100000700,,,,0,,no,392863929817
TEQUILA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S GINGER BEER,25100000800,,,,0,,no,392863929817
TEQUILA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S GRAPEFRUIT TONIC,25100000900,,,,0,,no,392863929817
TEQUILA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S INDIAN TONIC,25100002000,,,,0,,no,392863929817
TEQUILA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S LEMONADE,25100001100,,,,0,,no,392863929817
TEQUILA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S LIGHT TONIC,25100002200,,,,0,,no,392863929817
TEQUILA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S MALLORCAN TONIC,25100001200,,,,0,,no,392863929817
TEQUILA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FEVERTREE AROMATIC,25100000300,,,,0,,no,392863929817
TEQUILA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FEVERTREE CUCUMBER,25100000500,,,,0,,no,392863929817
TEQUILA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FEVERTREE ELDERFLOWER,25100000600,,,,0,,no,392863929817
TEQUILA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FRANKLIN & SONS COLA,25100000400,,,,0,,no,392863929817
TEQUILA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FRITZ KOLA,GK,,,,0,,no,392863929817
TEQUILA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FRITZ LIMO,GK,,,,0,,no,392863929817
TEQUILA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,TWO KEYS PINK GRAPEFRUIT,25100003900,,,,0,,no,392863929817
VODKA SUNRISE (£5),23081001500,STUDENT DEALS,German Kraft,Internal,drink,Aqua,5,0,,,20,20,,,,,multi choice,no,,,,,,,,,392863872211
VODKA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,VODKA CHOICE,VODKA CHOICE - GK £8.50 DEAL,single choice,yes,KRAFT 37.5 DBL,22090000100,,,,0,,yes,392863869881
VODKA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S GINGER ALE,25100000700,,,,0,,no,392863864517
VODKA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S GINGER BEER,25100000800,,,,0,,no,392863864517
VODKA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S GRAPEFRUIT TONIC,25100000900,,,,0,,no,392863864517
VODKA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S INDIAN TONIC,25100002000,,,,0,,no,392863864517
VODKA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S LEMONADE,25100001100,,,,0,,no,392863864517
VODKA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S LIGHT TONIC,25100002200,,,,0,,no,392863864517
VODKA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,F&S MALLORCAN TONIC,25100001200,,,,0,,no,392863864517
VODKA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FEVERTREE AROMATIC,25100000300,,,,0,,no,392863864517
VODKA DBL + MIXER,GK,STUDENT DEALS,German Kraft,Internal,drink,Cobalt,8.5,0,,,20,20,,,MIXER,MIXER - GK STUDENT FREE MIXER DEAL,single choice,yes,FEVERTREE CUCUMBER,25100000500,,,,0,,no,392863864517
